using config file: /home/ubuntu/Mini-Testing-Experiments/data/ser/checker:cobra-vs-us/keys/20231112140643/n8_k100000_t100010_r4/mini-config.yaml
Your Config: 
Config[LIB_TYPE=POSTGRESQL_LIB,CC_TYPE=WAIT_YOUNG_DIE,BENCH_TYPE=MINI,TIMESTAMP_ON=false,COBRA_FD=/tmp/cobra/,COBRA_FD_LOG=/tmp/cobra/log/,BENCHMARK_LOG_PATH=/tmp/cobra/benchmark.log,APPEND_OTHERWISE_RECREATE=false,DEBUG_LIB_FLAG=false,LOG_DEBUG=false,LOG_INFO=false,LOG_ERROR=true,SEED=1699777322,USE_INSTRUMENT=true,LOCAL_LOG=true,LOCAL_REMOTE_LOG=false,CLOUD_LOG=false,SIGN_DATA=false,MAX_FZ_TXN_NUM=20,NUM_TXN_IN_ENTITY=1,KEY_CLIENT_LOG_SUFFIX=_CL,EPOCH_KEY=FZVERSION,EPOCH_CLIENTS_SEP_STR=;,EPOCH_CLIENT_EPOCH_SEP_STR=:,USE_NEW_EPOCH_TXN=false,SKIP_LOADING=false,SKIP_TESTING=false,ENABLE_BARRIER=false,DONT_RECORD_LOADING=true,TXN_NUM=100010,CLIENT_ID=1,THREAD_NUM=8,CLIENT_NUM=1,SLEEP_TIME=1000,RESULT_FILE_NAME=result.txt,LATENCY_FOLDER=/tmp/cobra/latency/,REDIS_ADDRESS=redis://172.31.31.90/0,OP_PER_CHENGTXN=8,VALUE_LENGTH=140,KEY_PRFIX=key,KEY_INDX_START=1,NUM_KEYS=100000,RATIO_INSERT=0,RATIO_READ=20,RATIO_UPDATE=80,RATIO_DELETE=0,RATIO_RMW=0,WAREHOUSE_NUM=1,REPORT_NEWORDER_ONLY=false,RUBIS_USERS_NUM=20000,TWITTER_USERS_NUM=1000,OP_PER_GENERALTXN=4,VERIFIER_PORT=10086,VERIFIER_HOSTNAME=localhost,THROUGHPUT_PER_WAIT=1000,WAIT_BETWEEN_TXNS=0,GC_KEY=COBRA_GC_KEY,SERVER_PORT=8980,SERVER_HOST=ye-cheng.duckdns.org,PG_PASSWORD=postgres,PG_USERNAME=postgres,DB_URL=jdbc:postgresql://localhost:5432/testdb,GOOGLEVALUE=value,ROCKSDB_PATH=/tmp/rocksdb,ISOLATION_LEVEL=1,COCKROACH_PASSWORD=,COCKROACH_USERNAME=,yak=172.24.71.222,boa=172.24.71.208,ye=216.165.70.10,COCKROACH_DB_URLS={172.24.71.222,172.24.71.208,216.165.70.10},COCKROACH_PORTS={26257,26257,26257},COCKROACH_DATABASE_NAME=cobra,YUGABYTE_PASSWORD=,YUGABYTE_USERNAME=,YUGABYTE_DB_URLS={127.0.0.1,127.0.0.2,127.0.0.3},YUGABYTE_PORTS={5433,5433,5433},YUGABYTE_DATABASE_NAME=cobra,NUM_REPLICA=3,NUM_KEY_PERTABLE=2,ROANOMALY_NUM_RO=2,WOROANOMALY_NUM_WORO=2,CRACK_ACTIVE_ABORT_RATE=0]
[INFO] delete file [/tmp/cobra/log/T18.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T12.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T15.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T16.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T14.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T13.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T17.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T19.debug]... done?true
[INFO] delete file [/tmp/cobra/log/T17.log]... done?true
[INFO] delete file [/tmp/cobra/log/T19.log]... done?true
[INFO] delete file [/tmp/cobra/log/T16.log]... done?true
[INFO] delete file [/tmp/cobra/log/T14.log]... done?true
[INFO] delete file [/tmp/cobra/log/T12.log]... done?true
[INFO] delete file [/tmp/cobra/log/T18.log]... done?true
[INFO] delete file [/tmp/cobra/log/T15.log]... done?true
[INFO] delete file [/tmp/cobra/log/T13.log]... done?true
[INFO] delete file [/tmp/cobra/log/T15.error]... done?true
[INFO] delete file [/tmp/cobra/log/T19.error]... done?true
[INFO] delete file [/tmp/cobra/log/T12.error]... done?true
[INFO] Clear done.
waiting for barrier
start benchmark
progress%=0.52% #commit=521 #abort_txn=0 success%=100% tps = 521
progress%=61.81% #commit=61800 #abort_txn=12 success%=99.98% tps = 811.19
  #runners = 8
progress%=62.35% #commit=62340 #abort_txn=12 success%=99.98% tps = 540
  #runners = 8
progress%=63.17% #commit=63165 #abort_txn=12 success%=99.98% tps = 825
  #runners = 8
progress%=63.92% #commit=63914 #abort_txn=12 success%=99.98% tps = 748.25
  #runners = 8
progress%=64.58% #commit=64578 #abort_txn=12 success%=99.98% tps = 664
  #runners = 8
progress%=65.2% #commit=65196 #abort_txn=12 success%=99.98% tps = 618
  #runners = 8
progress%=65.73% #commit=65727 #abort_txn=12 success%=99.98% tps = 530.47
  #runners = 8
progress%=66.22% #commit=66218 #abort_txn=12 success%=99.98% tps = 491
  #runners = 8
progress%=66.78% #commit=66775 #abort_txn=12 success%=99.98% tps = 556.44
  #runners = 8
progress%=67.31% #commit=67304 #abort_txn=12 success%=99.98% tps = 529
  #runners = 8
progress%=67.9% #commit=67893 #abort_txn=12 success%=99.98% tps = 588.41
  #runners = 8
progress%=68.48% #commit=68474 #abort_txn=12 success%=99.98% tps = 581
  #runners = 8
progress%=68.94% #commit=68939 #abort_txn=12 success%=99.98% tps = 465
  #runners = 8
progress%=69.54% #commit=69532 #abort_txn=12 success%=99.98% tps = 592.41
  #runners = 8
progress%=70.01% #commit=70001 #abort_txn=12 success%=99.98% tps = 469
  #runners = 8
progress%=70.64% #commit=70631 #abort_txn=12 success%=99.98% tps = 630
  #runners = 8
progress%=71.3% #commit=71296 #abort_txn=12 success%=99.98% tps = 664.34
  #runners = 8
progress%=71.94% #commit=71931 #abort_txn=12 success%=99.98% tps = 635
  #runners = 8
progress%=72.77% #commit=72765 #abort_txn=12 success%=99.98% tps = 833.17
  #runners = 8
progress%=73.43% #commit=73425 #abort_txn=12 success%=99.98% tps = 660
  #runners = 8
progress%=74.09% #commit=74083 #abort_txn=12 success%=99.98% tps = 658
  #runners = 8
progress%=74.85% #commit=74844 #abort_txn=12 success%=99.98% tps = 760.24
  #runners = 8
progress%=75.4% #commit=75396 #abort_txn=13 success%=99.98% tps = 553
  #runners = 8
progress%=76.11% #commit=76103 #abort_txn=14 success%=99.98% tps = 708
  #runners = 8
progress%=76.48% #commit=76477 #abort_txn=14 success%=99.98% tps = 373.63
  #runners = 8
progress%=77.17% #commit=77163 #abort_txn=14 success%=99.98% tps = 686
  #runners = 8
progress%=77.9% #commit=77891 #abort_txn=14 success%=99.98% tps = 728
  #runners = 8
progress%=78.71% #commit=78700 #abort_txn=14 success%=99.98% tps = 809
  #runners = 8
progress%=79.47% #commit=79462 #abort_txn=14 success%=99.98% tps = 761.24
  #runners = 8
progress%=80.1% #commit=80099 #abort_txn=14 success%=99.98% tps = 637
  #runners = 8
progress%=80.79% #commit=80786 #abort_txn=14 success%=99.98% tps = 687
  #runners = 8
progress%=81.3% #commit=81295 #abort_txn=14 success%=99.98% tps = 508.49
  #runners = 8
progress%=82.02% #commit=82012 #abort_txn=14 success%=99.98% tps = 717
  #runners = 8
progress%=82.61% #commit=82605 #abort_txn=14 success%=99.98% tps = 592.41
  #runners = 8
progress%=83.27% #commit=83267 #abort_txn=14 success%=99.98% tps = 662
  #runners = 8
progress%=83.82% #commit=83811 #abort_txn=14 success%=99.98% tps = 544
  #runners = 8
progress%=84.39% #commit=84385 #abort_txn=14 success%=99.98% tps = 573.43
  #runners = 8
progress%=84.85% #commit=84841 #abort_txn=14 success%=99.98% tps = 456
  #runners = 8
progress%=85.33% #commit=85328 #abort_txn=14 success%=99.98% tps = 486.51
  #runners = 8
progress%=85.95% #commit=85947 #abort_txn=14 success%=99.98% tps = 619
  #runners = 8
progress%=86.68% #commit=86671 #abort_txn=14 success%=99.98% tps = 724
  #runners = 8
progress%=87.18% #commit=87174 #abort_txn=14 success%=99.98% tps = 503
  #runners = 8
progress%=87.61% #commit=87600 #abort_txn=14 success%=99.98% tps = 425.57
  #runners = 8
progress%=88.13% #commit=88122 #abort_txn=14 success%=99.98% tps = 520.96
  #runners = 8
progress%=88.67% #commit=88667 #abort_txn=15 success%=99.98% tps = 545.45
  #runners = 8
progress%=89.23% #commit=89222 #abort_txn=15 success%=99.98% tps = 555
  #runners = 8
progress%=89.85% #commit=89839 #abort_txn=15 success%=99.98% tps = 617
  #runners = 8
progress%=90.65% #commit=90640 #abort_txn=15 success%=99.98% tps = 800.2
  #runners = 8
progress%=91.31% #commit=91309 #abort_txn=15 success%=99.98% tps = 669
  #runners = 8
progress%=92.06% #commit=92056 #abort_txn=15 success%=99.98% tps = 747
  #runners = 8
progress%=92.75% #commit=92743 #abort_txn=15 success%=99.98% tps = 686.31
  #runners = 8
progress%=93.38% #commit=93373 #abort_txn=15 success%=99.98% tps = 630
  #runners = 8
progress%=93.95% #commit=93940 #abort_txn=15 success%=99.98% tps = 567
  #runners = 8
progress%=94.56% #commit=94554 #abort_txn=16 success%=99.98% tps = 614.39
  #runners = 8
progress%=94.95% #commit=94944 #abort_txn=16 success%=99.98% tps = 390
  #runners = 8
progress%=95.38% #commit=95372 #abort_txn=16 success%=99.98% tps = 427.57
  #runners = 8
progress%=96.05% #commit=96042 #abort_txn=17 success%=99.98% tps = 670.33
  #runners = 8
progress%=96.71% #commit=96698 #abort_txn=17 success%=99.98% tps = 656
  #runners = 8
progress%=97.36% #commit=97350 #abort_txn=17 success%=99.98% tps = 651.35
  #runners = 8
progress%=98.05% #commit=98040 #abort_txn=17 success%=99.98% tps = 690
  #runners = 8
progress%=98.72% #commit=98708 #abort_txn=17 success%=99.98% tps = 668
  #runners = 8
progress%=99.47% #commit=99462 #abort_txn=17 success%=99.98% tps = 754
  #runners = 8
progress%=99.97% #commit=99958 #abort_txn=17 success%=99.98% tps = 495.5
  #runners = 8
progress%=100% #commit=99993 #abort_txn=17 success%=99.98% tps = 35
  #runners = 0
benchmark finished
Result: 
========Summary=============
#Txn=100010 #commit=99993 #abort_txn=17  success%=99.98%

======Performance=========
total runtime: 161,082.96ms 
Throughput: 620.75 txn/sec (commit txn)
Latency:
  R1W1R2W2: 15.48ms  [143721ms/9.28k]
  R2W2R1: 15.37ms  [138906ms/9.04k]
  R2W2R2: 15.24ms  [137375ms/9.01k]
  R2R1W2: 15.32ms  [137430ms/8.97k]
  doBench: 161,082.96ms  [161082ms/0k]
  R1R2W1W2: 15.73ms  [145198ms/9.23k]
  R1R2: 1.2ms  [10904ms/9.11k]
  R1R2W2W1: 15.3ms  [139284ms/9.1k]
  R1R1W1: 15.58ms  [142742ms/9.16k]
  kvi: 7.7ms  [3080437ms/400.02k]
  R1: 0.9ms  [8223ms/9.1k]
  R1W1: 15.2ms  [135292ms/8.9k]
  R1R2W2: 15.43ms  [140419ms/9.1k]
NumOp: 507604
ExtraOp: 0; ExtraTxn: 4784; NumTxnInMonitoring: 0
SizeOfTrace: -1

Dumping latencies...
[SIGNAL] The test is finished! [rejungofszbj]
